zone;pollutant;emission;unit
BU03580200;PM10;0.015543;Mg
BU03580200;NOX;3.26403;Mg
BU03580205;PM10;0.00946396;Mg
BU03580205;NOX;1.9874316;Mg
BU03580206;PM10;0.01540484;Mg
BU03580206;NOX;3.2350164;Mg
BU03620001;PM10;0.0100166;Mg
BU03620001;NOX;2.103486;Mg
BU03620002;PM10;0.01084556;Mg
BU03620002;NOX;2.2775676;Mg
BU03620003;PM10;0.0131252;Mg
BU03620003;NOX;2.756292;Mg
BU03620004;NOX;1.740816;Mg
BU03620004;PM10;0.0082896;Mg
BU03620005;NOX;1.2040644;Mg
BU03620005;PM10;0.00573364;Mg
BU03620006;NOX;0.1740816;Mg
BU03620006;PM10;0.00082896;Mg
BU03620007;NOX;1.6537752;Mg
BU03620007;PM10;0.00787512;Mg
BU03620008;PM10;0.0079442;Mg
BU03620008;NOX;1.668282;Mg
BU03620009;PM10;0.01540484;Mg
BU03620009;NOX;3.2350164;Mg
BU03620010;NOX;1.6827888;Mg
BU03620010;PM10;0.00801328;Mg
BU03620011;NOX;1.7118024;Mg
BU03620011;PM10;0.00815144;Mg
BU03620012;PM10;0.00822052;Mg
BU03620012;NOX;1.7263092;Mg
BU03620013;PM10;0.0062172;Mg
BU03620013;NOX;1.305612;Mg
BU03620014;PM10;0.00870408;Mg
BU03620014;NOX;1.8278568;Mg
BU03620015;PM10;0.00711524;Mg
BU03620015;NOX;1.4942004;Mg
BU03620016;NOX;3.2930436;Mg
BU03620016;PM10;0.01568116;Mg
BU03620017;PM10;0.00801328;Mg
BU03620017;NOX;1.6827888;Mg
BU03620018;PM10;0.00511192;Mg
BU03620018;NOX;1.0735032;Mg
BU03620019;NOX;2.973894;Mg
BU03620019;PM10;0.0141614;Mg
BU03620020;PM10;0.0162338;Mg
BU03620020;NOX;3.409098;Mg
BU03630000;NOX;1.6392684;Mg
BU03630000;PM10;0.00780604;Mg
BU03630001;NOX;1.6247616;Mg
BU03630001;PM10;0.00773696;Mg
BU03630002;PM10;0.00974028;Mg
BU03630002;NOX;2.0454588;Mg
BU03630003;NOX;1.9729248;Mg
BU03630003;PM10;0.00939488;Mg
BU03630004;PM10;0.00594088;Mg
BU03630004;NOX;1.2475848;Mg
BU03630005;PM10;0.00670076;Mg
BU03630005;NOX;1.4071596;Mg
BU03630006;NOX;1.3926528;Mg
BU03630006;PM10;0.00663168;Mg
BU03630007;PM10;0.00787512;Mg
BU03630007;NOX;1.6537752;Mg
BU03630008;NOX;1.4942004;Mg
BU03630008;PM10;0.00711524;Mg
BU03630009;NOX;1.2620916;Mg
BU03630009;PM10;0.00600996;Mg
BU03630110;PM10;0.01056924;Mg
BU03630110;NOX;2.2195404;Mg
BU03630111;PM10;0;Mg
BU03630111;NOX;0;Mg
BU03630212;NOX;0;Mg
BU03630212;PM10;0;Mg
BU03630213;NOX;1.2911052;Mg
BU03630213;PM10;0.00614812;Mg
BU03630214;NOX;1.1750508;Mg
BU03630214;PM10;0.00559548;Mg
BU03630215;NOX;0.435204;Mg
BU03630215;PM10;0.0020724;Mg
BU03630216;NOX;1.233078;Mg
BU03630216;PM10;0.0058718;Mg
BU03630217;PM10;0.00642444;Mg
BU03630217;NOX;1.3491324;Mg
BU03630218;PM10;0.0058718;Mg
BU03630218;NOX;1.233078;Mg
BU03630219;PM10;0.00545732;Mg
BU03630219;NOX;1.1460372;Mg
BU03630220;NOX;1.4651868;Mg
BU03630220;PM10;0.00697708;Mg
BU03630221;PM10;0.00670076;Mg
BU03630221;NOX;1.4071596;Mg
BU03630222;NOX;1.9148976;Mg
BU03630222;PM10;0.00911856;Mg
BU03630236;PM10;0.00842776;Mg
BU03630236;NOX;1.7698296;Mg
BU03630237;NOX;1.2911052;Mg
BU03630237;PM10;0.00614812;Mg
BU03630238;NOX;1.3201188;Mg
BU03630238;PM10;0.00628628;Mg
BU03630239;NOX;0.6963264;Mg
BU03630239;PM10;0.00331584;Mg
BU03630240;NOX;1.378146;Mg
BU03630240;PM10;0.0065626;Mg
BU03630241;NOX;1.2040644;Mg
BU03630241;PM10;0.00573364;Mg
BU03630242;PM10;0.00594088;Mg
BU03630242;NOX;1.2475848;Mg
BU03630243;NOX;1.4361732;Mg
BU03630243;PM10;0.00683892;Mg
BU03630375;NOX;0;Mg
BU03630375;PM10;0;Mg
BU03630376;PM10;0.00704616;Mg
BU03630376;NOX;1.4796936;Mg
BU03630377;PM10;0.00600996;Mg
BU03630377;NOX;1.2620916;Mg
BU03630378;NOX;1.0735032;Mg
BU03630378;PM10;0.00511192;Mg
BU03630379;PM10;0.0072534;Mg
BU03630379;NOX;1.523214;Mg
BU03630380;PM10;0.01429956;Mg
BU03630380;NOX;3.0029076;Mg
BU03630381;PM10;0.0058718;Mg
BU03630381;NOX;1.233078;Mg
BU03630382;PM10;0.00504284;Mg
BU03630382;NOX;1.0589964;Mg
BU03630383;NOX;0.9864624;Mg
BU03630383;PM10;0.00469744;Mg
BU03630384;NOX;1.3926528;Mg
BU03630384;PM10;0.00663168;Mg
BU03630385;NOX;1.3636392;Mg
BU03630385;PM10;0.00649352;Mg
BU03630386;PM10;0.003454;Mg
BU03630386;NOX;0.72534;Mg
BU03630387;PM10;0.0031086;Mg
BU03630387;NOX;0.652806;Mg
BU03630388;NOX;1.5522276;Mg
BU03630388;PM10;0.00739156;Mg
BU03630424;NOX;1.2185712;Mg
BU03630424;PM10;0.00580272;Mg
BU03630425;PM10;0.00600996;Mg
BU03630425;NOX;1.2620916;Mg
BU03630426;NOX;1.4216664;Mg
BU03630426;PM10;0.00676984;Mg
BU03630444;PM10;0.00676984;Mg
BU03630444;NOX;1.4216664;Mg
BU03630445;NOX;1.45068;Mg
BU03630445;PM10;0.006908;Mg
BU03630446;NOX;2.2920744;Mg
BU03630446;PM10;0.01091464;Mg
BU03630447;PM10;0.01112188;Mg
BU03630447;NOX;2.3355948;Mg
BU03630448;NOX;1.2475848;Mg
BU03630448;PM10;0.00594088;Mg
BU03630449;PM10;0.01464496;Mg
BU03630449;NOX;3.0754416;Mg
BU03630450;PM10;0.00594088;Mg
BU03630450;NOX;1.2475848;Mg
BU03630452;NOX;1.7118024;Mg
BU03630452;PM10;0.00815144;Mg
BU03630453;PM10;0.00683892;Mg
BU03630453;NOX;1.4361732;Mg
BU03630454;NOX;1.4216664;Mg
BU03630454;PM10;0.00676984;Mg
BU03630459;NOX;2.4081288;Mg
BU03630459;PM10;0.01146728;Mg
BU03630490;NOX;1.3491324;Mg
BU03630490;PM10;0.00642444;Mg
BU03630491;NOX;1.2185712;Mg
BU03630491;PM10;0.00580272;Mg
BU03630527;PM10;0.0062172;Mg
BU03630527;NOX;1.305612;Mg
BU03630528;PM10;0.00607904;Mg
BU03630528;NOX;1.2765984;Mg
BU03630529;PM10;0.00607904;Mg
BU03630529;NOX;1.2765984;Mg
BU03630530;PM10;0.00683892;Mg
BU03630530;NOX;1.4361732;Mg
BU03630531;PM10;0.00607904;Mg
BU03630531;NOX;1.2765984;Mg
BU03630532;PM10;0.00573364;Mg
BU03630532;NOX;1.2040644;Mg
BU03630533;NOX;0.507738;Mg
BU03630533;PM10;0.0024178;Mg
BU03630534;NOX;0;Mg
BU03630534;PM10;0;Mg
BU03630535;PM10;0.00013816;Mg
BU03630535;NOX;0.0290136;Mg
BU03630551;NOX;0;Mg
BU03630551;PM10;0;Mg
BU03630555;NOX;1.45068;Mg
BU03630555;PM10;0.006908;Mg
BU03630556;NOX;1.5522276;Mg
BU03630556;PM10;0.00739156;Mg
BU03630557;NOX;1.3926528;Mg
BU03630557;PM10;0.00663168;Mg
BU03630558;NOX;0.0290136;Mg
BU03630558;PM10;0.00013816;Mg
BU03630574;PM10;0;Mg
BU03630574;NOX;0;Mg
BU03630660;NOX;1.5377208;Mg
BU03630660;PM10;0.00732248;Mg
BU03630661;PM10;0.00683892;Mg
BU03630661;NOX;1.4361732;Mg
BU03630662;NOX;1.6392684;Mg
BU03630662;PM10;0.00780604;Mg
BU03630663;NOX;1.5812412;Mg
BU03630663;PM10;0.00752972;Mg
BU03630664;PM10;0.01195084;Mg
BU03630664;NOX;2.5096764;Mg
BU03630665;PM10;0.00670076;Mg
BU03630665;NOX;1.4071596;Mg
BU03630666;PM10;0.00780604;Mg
BU03630666;NOX;1.6392684;Mg
BU03630667;PM10;0.0093258;Mg
BU03630667;NOX;1.958418;Mg
BU03630668;PM10;0.0065626;Mg
BU03630668;NOX;1.378146;Mg
BU03630669;PM10;0.00525008;Mg
BU03630669;NOX;1.1025168;Mg
BU03630670;NOX;1.1895576;Mg
BU03630670;PM10;0.00566456;Mg
BU03630671;NOX;0.2611224;Mg
BU03630671;PM10;0.00124344;Mg
BU03630672;NOX;2.0019384;Mg
BU03630672;PM10;0.00953304;Mg
BU03630673;NOX;2.7127716;Mg
BU03630673;PM10;0.01291796;Mg
BU03630792;NOX;0;Mg
BU03630792;PM10;0;Mg
BU03630793;NOX;0.9139284;Mg
BU03630793;PM10;0.00435204;Mg
BU03630794;PM10;0.003454;Mg
BU03630794;NOX;0.72534;Mg
BU03630795;NOX;1.6972956;Mg
BU03630795;PM10;0.00808236;Mg
BU03630796;PM10;0.00801328;Mg
BU03630796;NOX;1.6827888;Mg
BU03630797;NOX;1.5377208;Mg
BU03630797;PM10;0.00732248;Mg
BU03630798;PM10;0.0089804;Mg
BU03630798;NOX;1.885884;Mg
BU03639997;PM10;0;Mg
BU03639997;NOX;0;Mg
BU03840001;NOX;1.9148976;Mg
BU03840001;PM10;0.00911856;Mg
BU03840002;PM10;0.00960212;Mg
BU03840002;NOX;2.0164452;Mg
BU03840003;PM10;0.00780604;Mg
BU03840003;NOX;1.6392684;Mg
BU03840004;NOX;1.5667344;Mg
BU03840004;PM10;0.00746064;Mg
BU03840005;NOX;1.8278568;Mg
BU03840005;PM10;0.00870408;Mg
BU03840006;PM10;0.00670076;Mg
BU03840006;NOX;1.4071596;Mg
BU03840007;PM10;0.0082896;Mg
BU03840007;NOX;1.740816;Mg
BU03840008;NOX;1.6537752;Mg
BU03840008;PM10;0.00787512;Mg
BU03840009;PM10;0.00006908;Mg
BU03840009;NOX;0.0145068;Mg
BU03840010;PM10;0;Mg
BU03840010;NOX;0;Mg
BU03840011;NOX;0;Mg
BU03840011;PM10;0;Mg
BU03840012;NOX;0;Mg
BU03840012;PM10;0;Mg
BU03840113;NOX;0.4497108;Mg
BU03840113;PM10;0.00214148;Mg
BU03840114;NOX;1.6972956;Mg
BU03840114;PM10;0.00808236;Mg
BU03840115;PM10;0.00849684;Mg
BU03840115;NOX;1.7843364;Mg
BU03840116;NOX;1.81335;Mg
BU03840116;PM10;0.008635;Mg
BU03840117;PM10;0.0079442;Mg
BU03840117;NOX;1.668282;Mg
BU03840118;PM10;0;Mg
BU03840118;NOX;0;Mg
BU03840219;NOX;2.2630608;Mg
BU03840219;PM10;0.01077648;Mg
BU03840220;PM10;0.00787512;Mg
BU03840220;NOX;1.6537752;Mg
BU03840221;NOX;2.7417852;Mg
BU03840221;PM10;0.01305612;Mg
BU03840222;NOX;1.7553228;Mg
BU03840222;PM10;0.00835868;Mg
BU03840223;NOX;1.4651868;Mg
BU03840223;PM10;0.00697708;Mg
BU03840224;PM10;0.008635;Mg
BU03840224;NOX;1.81335;Mg
BU03840225;PM10;0;Mg
BU03840225;NOX;0;Mg
BU03849997;NOX;0;Mg
BU03849997;PM10;0;Mg
BU03930000;PM10;0.00994752;Mg
BU03930000;NOX;2.0889792;Mg
BU03930002;NOX;3.4236048;Mg
BU03930002;PM10;0.01630288;Mg
BU03930009;NOX;0;Mg
BU03930009;PM10;0;Mg
BU03940101;PM10;0.00904948;Mg
BU03940101;NOX;1.9003908;Mg
BU03940102;PM10;0.0072534;Mg
BU03940102;NOX;1.523214;Mg
BU03940104;NOX;1.8278568;Mg
BU03940104;PM10;0.00870408;Mg
BU03940105;PM10;0.00877316;Mg
BU03940105;NOX;1.8423636;Mg
BU03940122;NOX;3.0754416;Mg
BU03940122;PM10;0.01464496;Mg
BU03940123;PM10;0.01492128;Mg
BU03940123;NOX;3.1334688;Mg
BU03940343;PM10;0.00918764;Mg
BU03940343;NOX;1.9294044;Mg
BU03940344;PM10;0.0082896;Mg
BU03940344;NOX;1.740816;Mg
BU03940345;NOX;2.3355948;Mg
BU03940345;PM10;0.01112188;Mg
BU03940346;PM10;0.01029292;Mg
BU03940346;NOX;2.1615132;Mg
BU03940347;PM10;0.01167452;Mg
BU03940347;NOX;2.4516492;Mg
BU03940348;PM10;0.01160544;Mg
BU03940348;NOX;2.4371424;Mg
BU03940349;NOX;2.3355948;Mg
BU03940349;PM10;0.01112188;Mg
BU03940350;NOX;3.3800844;Mg
BU03940350;PM10;0.01609564;Mg
BU03940429;NOX;3.3800844;Mg
BU03940429;PM10;0.01609564;Mg
BU03940465;NOX;2.9884008;Mg
BU03940465;PM10;0.01423048;Mg
BU03940466;PM10;0.0107074;Mg
BU03940466;NOX;2.248554;Mg
BU03940551;NOX;3.1479756;Mg
BU03940551;PM10;0.01499036;Mg
BU03940552;NOX;1.523214;Mg
BU03940552;PM10;0.0072534;Mg
BU03940553;NOX;1.7988432;Mg
BU03940553;PM10;0.00856592;Mg
BU03940554;NOX;2.8143192;Mg
BU03940554;PM10;0.01340152;Mg
BU03940556;PM10;0.01153636;Mg
BU03940556;NOX;2.4226356;Mg
BU03940557;NOX;3.1044552;Mg
BU03940557;PM10;0.01478312;Mg
BU03940558;NOX;2.1905268;Mg
BU03940558;PM10;0.01043108;Mg
BU03940559;NOX;2.3501016;Mg
BU03940559;PM10;0.01119096;Mg
BU03940560;NOX;2.7853056;Mg
BU03940560;PM10;0.01326336;Mg
BU03940561;PM10;0;Mg
BU03940561;NOX;0;Mg
BU03940562;NOX;2.7707988;Mg
BU03940562;PM10;0.01319428;Mg
BU03940564;PM10;0.01305612;Mg
BU03940564;NOX;2.7417852;Mg
BU03940675;NOX;2.8433328;Mg
BU03940675;PM10;0.01353968;Mg
BU03941570;PM10;0.01464496;Mg
BU03941570;NOX;3.0754416;Mg
BU03941571;NOX;2.7417852;Mg
BU03941571;PM10;0.01305612;Mg
BU03941663;NOX;0;Mg
BU03941663;PM10;0;Mg
BU04150000;PM10;0.0117436;Mg
BU04150000;NOX;2.466156;Mg
BU04150001;PM10;0.0096712;Mg
BU04150001;NOX;2.030952;Mg
BU04150002;NOX;2.2340472;Mg
BU04150002;PM10;0.01063832;Mg
BU04150003;NOX;1.6827888;Mg
BU04150003;PM10;0.00801328;Mg
BU04150009;NOX;3.481632;Mg
BU04150009;PM10;0.0165792;Mg
BU04150102;NOX;3.1479756;Mg
BU04150102;PM10;0.01499036;Mg
BU04240001;PM10;0.0089804;Mg
BU04240001;NOX;1.885884;Mg
BU04240008;PM10;0;Mg
BU04240008;NOX;0;Mg
BU04249997;NOX;0;Mg
BU04249997;PM10;0;Mg
BU04310000;PM10;0.00904948;Mg
BU04310000;NOX;1.9003908;Mg
BU04310001;PM10;0.01443772;Mg
BU04310001;NOX;3.0319212;Mg
BU04310002;NOX;2.2340472;Mg
BU04310002;PM10;0.01063832;Mg
BU04310003;NOX;2.5241832;Mg
BU04310003;PM10;0.01201992;Mg
BU04370000;NOX;1.885884;Mg
BU04370000;PM10;0.0089804;Mg
BU04370001;PM10;0.0089804;Mg
BU04370001;NOX;1.885884;Mg
BU04370002;NOX;0;Mg
BU04370002;PM10;0;Mg
BU04370006;PM10;0;Mg
BU04370006;NOX;0;Mg
BU04370007;NOX;0;Mg
BU04370007;PM10;0;Mg
BU04370008;NOX;3.4671252;Mg
BU04370008;PM10;0.01651012;Mg
BU04370009;NOX;2.6257308;Mg
BU04370009;PM10;0.01250348;Mg
BU04570000;NOX;1.7988432;Mg
BU04570000;PM10;0.00856592;Mg
BU04570001;PM10;0.00891132;Mg
BU04570001;NOX;1.8713772;Mg
BU04570002;NOX;1.45068;Mg
BU04570002;PM10;0.006908;Mg
BU04570003;PM10;0.00739156;Mg
BU04570003;NOX;1.5522276;Mg
BU04570004;PM10;0.00732248;Mg
BU04570004;NOX;1.5377208;Mg
BU04570007;NOX;3.2495232;Mg
BU04570007;PM10;0.01547392;Mg
BU04570008;NOX;0;Mg
BU04570008;PM10;0;Mg
BU04570009;NOX;1.81335;Mg
BU04570009;PM10;0.008635;Mg
BU04791110;PM10;0.01236532;Mg
BU04791110;NOX;2.5967172;Mg
BU04791120;PM10;0.00732248;Mg
BU04791120;NOX;1.5377208;Mg
BU04791130;NOX;1.8423636;Mg
BU04791130;PM10;0.00877316;Mg
BU04791210;PM10;0.008635;Mg
BU04791210;NOX;1.81335;Mg
BU04791310;PM10;0.008635;Mg
BU04791310;NOX;1.81335;Mg
BU04791320;NOX;2.1905268;Mg
BU04791320;PM10;0.01043108;Mg
BU04791410;NOX;1.6392684;Mg
BU04791410;PM10;0.00780604;Mg
BU04791510;NOX;1.523214;Mg
BU04791510;PM10;0.0072534;Mg
BU04791520;PM10;0.0089804;Mg
BU04791520;NOX;1.885884;Mg
BU04791610;NOX;1.7118024;Mg
BU04791610;PM10;0.00815144;Mg
BU04792110;NOX;1.7988432;Mg
BU04792110;PM10;0.00856592;Mg
BU04792120;NOX;2.3065812;Mg
BU04792120;PM10;0.01098372;Mg
BU04792130;PM10;0.00815144;Mg
BU04792130;NOX;1.7118024;Mg
BU04792140;PM10;0.00822052;Mg
BU04792140;NOX;1.7263092;Mg
BU04792210;PM10;0.00918764;Mg
BU04792210;NOX;1.9294044;Mg
BU04792220;NOX;1.2040644;Mg
BU04792220;PM10;0.00573364;Mg
BU04792230;PM10;0.0093258;Mg
BU04792230;NOX;1.958418;Mg
BU04792310;NOX;1.4216664;Mg
BU04792310;PM10;0.00676984;Mg
BU04792320;NOX;1.5522276;Mg
BU04792320;PM10;0.00739156;Mg
BU04793110;NOX;2.103486;Mg
BU04793110;PM10;0.0100166;Mg
BU04793210;PM10;0.00918764;Mg
BU04793210;NOX;1.9294044;Mg
BU04797110;NOX;2.3065812;Mg
BU04797110;PM10;0.01098372;Mg
BU04797120;NOX;1.8568704;Mg
BU04797120;PM10;0.00884224;Mg
BU04797210;NOX;0.7688604;Mg
BU04797210;PM10;0.00366124;Mg
BU04798110;PM10;0;Mg
BU04798110;NOX;0;Mg
BU04798120;PM10;0.01015476;Mg
BU04798120;NOX;2.1324996;Mg
BU04798130;NOX;2.7853056;Mg
BU04798130;PM10;0.01326336;Mg
BU04798140;NOX;2.321088;Mg
BU04798140;PM10;0.0110528;Mg
BU07360400;PM10;0.01167452;Mg
BU07360400;NOX;2.4516492;Mg
BU07360401;PM10;0;Mg
BU07360401;NOX;0;Mg
BU07360409;NOX;0;Mg
BU07360409;PM10;0;Mg
BU08520009;PM10;0.01678644;Mg
BU08520009;NOX;3.5251524;Mg
BU08520300;NOX;2.4226356;Mg
BU08520300;PM10;0.01153636;Mg
BU08520301;NOX;3.4526184;Mg
BU08520301;PM10;0.01644104;Mg
BU08520302;NOX;2.6547444;Mg
BU08520302;PM10;0.01264164;Mg
BU08520400;NOX;2.3646084;Mg
BU08520400;PM10;0.01126004;Mg
BU08520500;PM10;0.01395416;Mg
BU08520500;NOX;2.9303736;Mg
BU08529997;NOX;0;Mg
BU08529997;PM10;0;Mg
BU16960601;NOX;2.2775676;Mg
BU16960601;PM10;0.01084556;Mg
BU19040801;NOX;3.6267;Mg
BU19040801;PM10;0.01727;Mg
BU19040802;PM10;0;Mg
BU19040802;NOX;0;Mg
BU19040803;PM10;0;Mg
BU19040803;NOX;0;Mg
BU19040804;PM10;0.010362;Mg
BU19040804;NOX;2.17602;Mg
BU19040805;NOX;2.9593872;Mg
BU19040805;PM10;0.01409232;Mg
